deaths_0-5_circ,deaths_25+_circ,deaths_5-25_circ,Population_0-5,Population_25+,Population_5-25,STATEFP,COUNTYFP,mort_0-5_circ,mort_5-25_circ,mort_25+_circ,deaths_0-5_resp,deaths_25+_resp,deaths_5-25_resp,mort_0-5_resp,mort_5-25_resp,mort_25+_resp,deaths_0-5_all,deaths_25+_all,deaths_5-25_all,mort_0-5_all,mort_5-25_all,mort_25+_all,deaths_0-5_circ_est,deaths_25+_circ_est,deaths_5-25_circ_est,mort_0-5_circ_est,mort_5-25_circ_est,mort_25+_circ_est,deaths_0-5_resp_est,deaths_25+_resp_est,deaths_5-25_resp_est,mort_0-5_resp_est,mort_5-25_resp_est,mort_25+_resp_est,deaths_0-5_all_est,deaths_25+_all_est,deaths_5-25_all_est,mort_0-5_all_est,mort_5-25_all_est,mort_25+_all_est
,228.0,,3670.0,46444.0,14002.0,6,33,,,0.004909,,75.0,,,,0.001615,,844.0,,,,0.018172,,228.0,,,,0.004909,,75.0,,,,0.001615,,844.0,,,,0.018172
,49.0,,1504.0,22307.0,7059.0,6,35,,,0.002197,,11.0,,,,0.000493,,235.0,,,,0.010535,,49.0,,,,0.002197,,11.0,,,,0.000493,,235.0,,,,0.010535
,22035.0,18.0,628304.0,6879111.0,2630500.0,6,37,,7e-06,0.003203,,5774.0,,,,0.000839,603.0,61670.0,909.0,0.00096,0.000346,0.008965,,22035.0,18.0,,7e-06,0.003203,,5774.0,,,,0.000839,603.0,61670.0,909.0,0.00096,0.000346,0.008965
,340.0,,11530.0,97051.0,46116.0,6,39,,,0.003503,,102.0,,,,0.001051,12.0,1065.0,16.0,0.001041,0.000347,0.010974,,340.0,,,,0.003503,,102.0,,,,0.001051,12.0,1065.0,16.0,0.001041,0.000347,0.010974
,544.0,,12378.0,190215.0,58058.0,6,41,,,0.00286,,160.0,,,,0.000841,,1879.0,15.0,,0.000258,0.009878,,544.0,,,,0.00286,,160.0,,,,0.000841,,1879.0,15.0,,0.000258,0.009878
,47.0,,774.0,13397.0,3239.0,6,43,,,0.003508,,,,,,,,201.0,,,,0.015003,,47.0,,,,0.003508,,,,,,,,201.0,,,,0.015003
,233.0,,5237.0,62134.0,20257.0,6,45,,,0.00375,,84.0,,,,0.001352,,854.0,,,,0.013744,,233.0,,,,0.00375,,84.0,,,,0.001352,,854.0,,,,0.013744
,569.0,,21257.0,158470.0,88945.0,6,47,,,0.003591,,158.0,,,,0.000997,16.0,1788.0,30.0,0.000753,0.000337,0.011283,,569.0,,,,0.003591,,158.0,,,,0.000997,16.0,1788.0,30.0,0.000753,0.000337,0.011283
,21.0,,404.0,6498.0,1893.0,6,49,,,0.003232,,12.0,,,,0.001847,,112.0,,,,0.017236,,21.0,,,,0.003232,,12.0,,,,0.001847,,112.0,,,,0.017236
,,,704.0,10055.0,3222.0,6,51,,,,,,,,,,,27.0,,,,0.002685,,,,,,,,,,,,,,27.0,,,,0.002685
,717.0,,32317.0,275673.0,127242.0,6,53,,,0.002601,,252.0,,,,0.000914,23.0,2484.0,57.0,0.000712,0.000448,0.009011,,717.0,,,,0.002601,,252.0,,,,0.000914,23.0,2484.0,57.0,0.000712,0.000448,0.009011
