ISO3,year,value,lower_uncertainty,upper_uncertainty,id
BES,2006,0.970659017562866,,,535
BHS,2006,0.937548339366913,,,44
BRB,2006,0.905266523361206,,,52
CUB,2006,0.573222458362579,,,192
CUW,2006,0.954177856445312,,,531
CYM,2006,,,,136
DMA,2006,0.922675967216492,,,212
DOM,2006,0.630865752696991,,,214
GLP,2006,0.924195051193237,,,312
GRD,2006,0.916674733161926,,,308
HTI,2006,0.495687663555145,,,332
JAM,2006,0.690704047679901,,,388
KNA,2006,0.973217487335205,,,659
LCA,2006,,,,662
MAF,2006,,,,663
MSR,2006,,,,500
MTQ,2006,0.978099167346954,,,474
PRI,2006,0.541648149490356,,,630
TCA,2006,0.978325068950653,,,796
TTO,2006,0.899385631084442,,,780
VCT,2006,,,,670
VGB,2006,,,,92
VIR,2006,,,,850
CHN,2006,0.630859315395355,,,156
HKG,2006,0.783192098140717,,,344
JPN,2006,0.875930428504944,,,392
KOR,2006,0.834067225456238,,,410
MAC,2006,,,,446
MNG,2006,0.500959873199463,,,496
PRK,2006,0.812750577926636,,,408
AFG,2006,0.76595538854599,,,4
BGD,2006,0.370564043521881,,,50
BTN,2006,0.839337408542633,,,64
IND,2006,0.605314791202545,,,356
IRN,2006,0.903128087520599,,,364
LKA,2006,0.698586583137512,,,144
MDV,2006,,,,462
NPL,2006,0.76744669675827,,,524
PAK,2006,0.871372878551483,,,586
BRN,2006,0.943701982498169,,,96
IDN,2006,0.749696791172028,,,360
KHM,2006,0.738222420215607,,,116
LAO,2006,0.918891251087189,,,418
MMR,2006,0.818089544773102,,,104
MYS,2006,0.786621332168579,,,458
PHL,2006,0.645484685897827,,,608
SGP,2006,0.300343304872513,,,702
THA,2006,0.702474415302277,,,764
TLS,2006,0.762517511844635,,,626
VNM,2006,0.729446828365326,,,704
KAZ,2006,0.630636990070343,,,398
KGZ,2006,0.733139395713806,,,417
TJK,2006,0.791627109050751,,,762
TKM,2006,0.661314368247986,,,795
UZB,2006,0.696402251720428,,,860
ARE,2006,1.0,,,784
ARM,2006,0.69139564037323,,,51
AZE,2006,0.7154740691185,,,31
BHR,2006,1.0,,,48
CYP,2006,1.0,,,196
GEO,2006,0.735108256340027,,,268
IRQ,2006,0.996902465820312,,,368
ISR,2006,0.93952488899231,,,376
JOR,2006,1.0,,,400
KWT,2006,1.0,,,414
LBN,2006,0.57004702091217,,,422
OMN,2006,1.0,,,512
PSE,2006,1.0,,,275
QAT,2006,1.0,,,634
SAU,2006,0.690515637397766,,,682
SYR,2006,0.594725847244263,,,760
TUR,2006,0.750373303890228,,,792
YEM,2006,0.749116182327271,,,887
ALB,2006,0.684907674789429,,,8
AND,2006,0.836957454681396,,,20
BIH,2006,0.699547648429871,,,70
ESP,2006,0.664062976837158,,,724
GRC,2006,0.657085716724396,,,300
