'state_id','county_id','value','start_date','end_date','source','dataset'),
(31,87,4.65,'2015-01-01','2015-12-31',12,69),
(32,11,3.86,'2015-01-01','2015-12-31',12,69),
(36,5,8.71,'2015-01-01','2015-12-31',12,69),
(31,85,4.94,'2015-01-01','2015-12-31',12,69),
(27,105,7.56,'2015-01-01','2015-12-31',12,69),
(39,23,9.7,'2015-01-01','2015-12-31',12,69),
(35,13,5.68,'2015-01-01','2015-12-31',12,69),
(26,161,9.16,'2015-01-01','2015-12-31',12,69),
(31,139,8.88,'2015-01-01','2015-12-31',12,69),
(26,15,9.58,'2015-01-01','2015-12-31',12,69),
(35,21,3.15,'2015-01-01','2015-12-31',12,69),
(39,65,9.99,'2015-01-01','2015-12-31',12,69),
(5,29,9.06,'2015-01-01','2015-12-31',12,69),
(1,123,8.12,'2015-01-01','2015-12-31',12,69),
(31,165,4.71,'2015-01-01','2015-12-31',12,69),
(55,113,5.27,'2015-01-01','2015-12-31',12,69),
(55,125,5.61,'2015-01-01','2015-12-31',12,69),
(55,141,7.64,'2015-01-01','2015-12-31',12,69),
(38,93,5.29,'2015-01-01','2015-12-31',12,69),
(38,99,6.08,'2015-01-01','2015-12-31',12,69),
(39,129,9.69,'2015-01-01','2015-12-31',12,69),
(39,131,9.06,'2015-01-01','2015-12-31',12,69),
(46,17,3.92,'2015-01-01','2015-12-31',12,69),
(39,57,9.53,'2015-01-01','2015-12-31',12,69),
(39,49,9.43,'2015-01-01','2015-12-31',12,69),
(29,165,7.74,'2015-01-01','2015-12-31',12,69),
(48,49,7.41,'2015-01-01','2015-12-31',12,69),
(48,135,5.05,'2015-01-01','2015-12-31',12,69),
(48,235,5.7,'2015-01-01','2015-12-31',12,69),
(49,41,4.24,'2015-01-01','2015-12-31',12,69),
(51,101,8.52,'2015-01-01','2015-12-31',12,69),
(53,55,4.11,'2015-01-01','2015-12-31',12,69),
(13,277,9.33,'2015-01-01','2015-12-31',12,69),
(56,41,4.6,'2015-01-01','2015-12-31',12,69),
(28,67,11.36,'2015-01-01','2015-12-31',12,69),
(13,71,8.9,'2015-01-01','2015-12-31',12,69),
(48,435,6.73,'2015-01-01','2015-12-31',12,69),
(55,21,7.93,'2015-01-01','2015-12-31',12,69),
(55,127,9.23,'2015-01-01','2015-12-31',12,69),
(51,820,9.09,'2015-01-01','2015-12-31',12,69),
(32,29,3.69,'2015-01-01','2015-12-31',12,69),
(26,27,10.08,'2015-01-01','2015-12-31',12,69),
(12,115,6.66,'2015-01-01','2015-12-31',12,69),
(20,21,8.18,'2015-01-01','2015-12-31',12,69),
(45,41,8.82,'2015-01-01','2015-12-31',12,69),
(27,17,5.52,'2015-01-01','2015-12-31',12,69),
(13,75,8.5,'2015-01-01','2015-12-31',12,69),
(13,155,9.08,'2015-01-01','2015-12-31',12,69),
(48,65,5.86,'2015-01-01','2015-12-31',12,69),
(38,27,5.34,'2015-01-01','2015-12-31',12,69),
(20,5,8.82,'2015-01-01','2015-12-31',12,69),
(51,600,8.66,'2015-01-01','2015-12-31',12,69),
(51,640,8.95,'2015-01-01','2015-12-31',12,69),
(20,13,8.48,'2015-01-01','2015-12-31',12,69),
(29,205,7.53,'2015-01-01','2015-12-31',12,69),
(51,690,8.32,'2015-01-01','2015-12-31',12,69),
(19,1,7.93,'2015-01-01','2015-12-31',12,69),
(48,221,7.38,'2015-01-01','2015-12-31',12,69),
(12,15,6.08,'2015-01-01','2015-12-31',12,69),
(13,77,9.58,'2015-01-01','2015-12-31',12,69),
(17,11,8.81,'2015-01-01','2015-12-31',12,69),
(39,173,9.7,'2015-01-01','2015-12-31',12,69),
(48,91,6.64,'2015-01-01','2015-12-31',12,69),
(48,133,7.39,'2015-01-01','2015-12-31',12,69),
(48,497,7.72,'2015-01-01','2015-12-31',12,69),
(17,139,8.8,'2015-01-01','2015-12-31',12,69),
(17,29,8.7,'2015-01-01','2015-12-31',12,69),
(19,67,7.83,'2015-01-01','2015-12-31',12,69),
(20,49,6.81,'2015-01-01','2015-12-31',12,69),
(19,81,7.4,'2015-01-01','2015-12-31',12,69),
(26,45,9.06,'2015-01-01','2015-12-31',12,69),
(19,85,8.07,'2015-01-01','2015-12-31',12,69),
(47,159,8.26,'2015-01-01','2015-12-31',12,69),
(48,117,7.18,'2015-01-01','2015-12-31',12,69),
(26,67,9.65,'2015-01-01','2015-12-31',12,69),
(20,205,7.4,'2015-01-01','2015-12-31',12,69),
(20,203,6.34,'2015-01-01','2015-12-31',12,69),
